1500 limit,,,Expansion,Housing
1139,B_Po_SaracenGlaive01_VFX_Body,B_Po_SaracenGlaive01_VFX_Body,0,0
1140,B_Po_TallHammer01_VFX_Body,B_Po_TallHammer01_VFX_Body,0,0
1141,B_sl_Cinquedea01_VFX_Body,B_sl_Cinquedea01_VFX_Body,0,0
1142,B_sl_Falchion01_VFX_Body,B_sl_Falchion01_VFX_Body,0,0
1143,b_st_magestaff01_VFX_Body,b_st_magestaff01_VFX_Body,0,0
1144,B_st_SpikedStaffMace01_VFX_Body,B_st_SpikedStaffMace01_VFX_Body,0,0
1145,B_th_DuelistsDagger01_VFX_Body,B_th_DuelistsDagger01_VFX_Body,0,0
1146,B_th_DuelistsRapier01_VFX_Body,B_th_DuelistsRapier01_VFX_Body,0,0
1147,B_xbo_SkinnersCrossbow01_VFX_Body,B_xbo_SkinnersCrossbow01_VFX_Body,0,0
1148,H_1h_FirbolgLongSword01_VFX_Body,H_1h_FirbolgLongSword01_VFX_Body,0,0
1149,H_1h_FirbolgShortSword01_VFX_Body,H_1h_FirbolgShortSword01_VFX_Body,0,0
1150,H_2h_FirbolgHammer01_VFX_Body,H_2h_FirbolgHammer01_VFX_Body,0,0
1151,H_2h_FirbolgTrollSplitter01_VFX_Body,H_2h_FirbolgTrollSplitter01_VFX_Body,0,0
1152,H_bl_CelticHammer01_VFX_Body,H_bl_CelticHammer01_VFX_Body,0,0
1153,H_bl_FirbolgHammer01_VFX_Body,H_bl_FirbolgHammer01_VFX_Body,0,0
1154,H_bo_ElvenLongbow01_VFX_Body,H_bo_ElvenLongbow01_VFX_Body,0,0
1155,H_bo_ElvenShortBow01_VFX_Body,H_bo_ElvenShortBow01_VFX_Body,0,0
1156,H_sc_FirbolgScythe01_VFX_Body,H_sc_FirbolgScythe01_VFX_Body,0,0
1157,H_Sp_FirbolgSpear01_VFX_Body,H_Sp_FirbolgSpear01_VFX_Body,0,0
1158,h_st_staff07_VFX_Body,h_st_staff07_VFX_Body,0,0
1159,h_st_staff09_VFX_Body,h_st_staff09_VFX_Body,0,0
1160,H_th_FirbolgAdze01_VFX_Body,H_th_FirbolgAdze01_VFX_Body,0,0
1161,H_th_WarAdze01_VFX_Body,H_th_WarAdze01_VFX_Body,0,0
1162,N_1h_DwarvenWarAxe01_VFX_Body,N_1h_DwarvenWarAxe01_VFX_Body,0,0
1163,N_1h_TrollBroadSword01_VFX_Body,N_1h_TrollBroadSword01_VFX_Body,0,0
1164,N_1h_TrollWarAxe01_VFX_Body,N_1h_TrollWarAxe01_VFX_Body,0,0
1165,N_1h_TrollWarHammer01_VFX_Body,N_1h_TrollWarHammer01_VFX_Body,0,0
1166,N_2h_DwarvenSpear01_VFX_Body,N_2h_DwarvenSpear01_VFX_Body,0,0
1167,N_2h_KoboldGreatAxe01_VFX_Body,N_2h_KoboldGreatAxe01_VFX_Body,0,0
1168,N_2h_KoboldGreatClub01_VFX_Body,N_2h_KoboldGreatClub01_VFX_Body,0,0
1169,N_2h_KoboldGreatSword01_VFX_Body,N_2h_KoboldGreatSword01_VFX_Body,0,0
1170,N_bo_VikingBeardedBow01_VFX_Body,N_bo_VikingBeardedBow01_VFX_Body,0,0
1171,N_hth_GreatBladedClawGreave01_VFX_Body,N_hth_GreatBladedClawGreave01_VFX_Body,0,0
1172,N_hth_GreatBladedFangGreave01_VFX_Body,N_hth_GreatBladedFangGreave01_VFX_Body,0,0
1173,B_2h_Coffinhammer01_VFX_Air,B_2h_Coffinhammer01_VFX_Air,0,0
1174,B_2h_InquisitorsPick01_VFX_Air,B_2h_InquisitorsPick01_VFX_Air,0,0
1175,B_2h_RoyalScimitar01_VFX_Air,B_2h_RoyalScimitar01_VFX_Air,0,0
1176,B_bo_SaracenShortbow01_VFX_Air,B_bo_SaracenShortbow01_VFX_Air,0,0
1177,B_bo_ThornBow01_VFX_Air,B_bo_ThornBow01_VFX_Air,0,0
1178,B_Cr_BishopsMace01_VFX_Air,B_Cr_BishopsMace01_VFX_Air,0,0
1179,B_Cr_CoffinMace01_VFX_Air,B_Cr_CoffinMace01_VFX_Air,0,0
1180,B_flx_PickFlail01_VFX_Air,B_flx_PickFlail01_VFX_Air,0,0
1181,B_flx_SpikedFlail01_VFX_Air,B_flx_SpikedFlail01_VFX_Air,0,0
1182,B_Po_MilitaryFork01_VFX_Air,B_Po_MilitaryFork01_VFX_Air,0,0
1183,B_Po_SaracenGlaive01_VFX_Air,B_Po_SaracenGlaive01_VFX_Air,0,0
1184,B_Po_TallHammer01_VFX_Air,B_Po_TallHammer01_VFX_Air,0,0
1185,B_sl_Cinquedea01_VFX_Air,B_sl_Cinquedea01_VFX_Air,0,0
1186,B_sl_Falchion01_VFX_Air,B_sl_Falchion01_VFX_Air,0,0
1187,b_st_magestaff01_VFX_Air,b_st_magestaff01_VFX_Air,0,0
1188,B_st_SpikedStaffMace01_VFX_Air,B_st_SpikedStaffMace01_VFX_Air,0,0
1189,B_th_DuelistsDagger01_VFX_Air,B_th_DuelistsDagger01_VFX_Air,0,0
1190,B_th_DuelistsRapier01_VFX_Air,B_th_DuelistsRapier01_VFX_Air,0,0
1191,B_xbo_SkinnersCrossbow01_VFX_Air,B_xbo_SkinnersCrossbow01_VFX_Air,0,0
1192,H_1h_FirbolgLongSword01_VFX_Air,H_1h_FirbolgLongSword01_VFX_Air,0,0
1193,H_1h_FirbolgShortSword01_VFX_Air,H_1h_FirbolgShortSword01_VFX_Air,0,0
1194,H_2h_FirbolgHammer01_VFX_Air,H_2h_FirbolgHammer01_VFX_Air,0,0
1195,H_2h_FirbolgTrollSplitter01_VFX_Air,H_2h_FirbolgTrollSplitter01_VFX_Air,0,0
1196,H_bl_CelticHammer01_VFX_Air,H_bl_CelticHammer01_VFX_Air,0,0
1197,H_bl_FirbolgHammer01_VFX_Air,H_bl_FirbolgHammer01_VFX_Air,0,0
1198,H_bo_ElvenLongbow01_VFX_Air,H_bo_ElvenLongbow01_VFX_Air,0,0
1199,H_bo_ElvenShortBow01_VFX_Air,H_bo_ElvenShortBow01_VFX_Air,0,0
1200,H_sc_FirbolgScythe01_VFX_Air,H_sc_FirbolgScythe01_VFX_Air,0,0
1201,H_Sp_FirbolgSpear01_VFX_Air,H_Sp_FirbolgSpear01_VFX_Air,0,0
1202,h_st_staff07_VFX_Air,h_st_staff07_VFX_Air,0,0
1203,h_st_staff09_VFX_Air,h_st_staff09_VFX_Air,0,0
1204,H_th_FirbolgAdze01_VFX_Air,H_th_FirbolgAdze01_VFX_Air,0,0
1205,H_th_WarAdze01_VFX_Air,H_th_WarAdze01_VFX_Air,0,0
1206,N_1h_DwarvenWarAxe01_VFX_Air,N_1h_DwarvenWarAxe01_VFX_Air,0,0
1207,N_1h_TrollBroadSword01_VFX_Air,N_1h_TrollBroadSword01_VFX_Air,0,0
1208,N_1h_TrollWarAxe01_VFX_Air,N_1h_TrollWarAxe01_VFX_Air,0,0
1209,N_1h_TrollWarHammer01_VFX_Air,N_1h_TrollWarHammer01_VFX_Air,0,0
1210,N_2h_DwarvenSpear01_VFX_Air,N_2h_DwarvenSpear01_VFX_Air,0,0
1211,N_2h_KoboldGreatAxe01_VFX_Air,N_2h_KoboldGreatAxe01_VFX_Air,0,0
1212,N_2h_KoboldGreatClub01_VFX_Air,N_2h_KoboldGreatClub01_VFX_Air,0,0
1213,N_2h_KoboldGreatSword01_VFX_Air,N_2h_KoboldGreatSword01_VFX_Air,0,0
1214,N_bo_VikingBeardedBow01_VFX_Air,N_bo_VikingBeardedBow01_VFX_Air,0,0
1215,N_hth_GreatBladedClawGreave01_VFX_Air,N_hth_GreatBladedClawGreave01_VFX_Air,0,0
1216,N_hth_GreatBladedFangGreave01_VFX_Air,N_hth_GreatBladedFangGreave01_VFX_Air,0,0
1217,B_2h_Coffinhammer01_VFX_Earth,B_2h_Coffinhammer01_VFX_Earth,0,0
1218,B_2h_InquisitorsPick01_VFX_Earth,B_2h_InquisitorsPick01_VFX_Earth,0,0
1219,B_2h_RoyalScimitar01_VFX_Earth,B_2h_RoyalScimitar01_VFX_Earth,0,0
1220,B_bo_SaracenShortbow01_VFX_Earth,B_bo_SaracenShortbow01_VFX_Earth,0,0
1221,B_bo_ThornBow01_VFX_Earth,B_bo_ThornBow01_VFX_Earth,0,0
1222,B_Cr_BishopsMace01_VFX_Earth,B_Cr_BishopsMace01_VFX_Earth,0,0
1223,B_Cr_CoffinMace01_VFX_Earth,B_Cr_CoffinMace01_VFX_Earth,0,0
1224,B_flx_PickFlail01_VFX_Earth,B_flx_PickFlail01_VFX_Earth,0,0
1225,B_flx_SpikedFlail01_VFX_Earth,B_flx_SpikedFlail01_VFX_Earth,0,0
1226,B_Po_MilitaryFork01_VFX_Earth,B_Po_MilitaryFork01_VFX_Earth,0,0
1227,B_Po_SaracenGlaive01_VFX_Earth,B_Po_SaracenGlaive01_VFX_Earth,0,0
1228,B_Po_TallHammer01_VFX_Earth,B_Po_TallHammer01_VFX_Earth,0,0
1229,B_sl_Cinquedea01_VFX_Earth,B_sl_Cinquedea01_VFX_Earth,0,0
1230,B_sl_Falchion01_VFX_Earth,B_sl_Falchion01_VFX_Earth,0,0
1231,b_st_magestaff01_VFX_Earth,b_st_magestaff01_VFX_Earth,0,0
1232,B_st_SpikedStaffMace01_VFX_Earth,B_st_SpikedStaffMace01_VFX_Earth,0,0
1233,B_th_DuelistsDagger01_VFX_Earth,B_th_DuelistsDagger01_VFX_Earth,0,0
1234,B_th_DuelistsRapier01_VFX_Earth,B_th_DuelistsRapier01_VFX_Earth,0,0
1235,B_xbo_SkinnersCrossbow01_VFX_Earth,B_xbo_SkinnersCrossbow01_VFX_Earth,0,0
1236,H_1h_FirbolgLongSword01_VFX_Earth,H_1h_FirbolgLongSword01_VFX_Earth,0,0
1237,H_1h_FirbolgShortSword01_VFX_Earth,H_1h_FirbolgShortSword01_VFX_Earth,0,0
1238,H_2h_FirbolgHammer01_VFX_Earth,H_2h_FirbolgHammer01_VFX_Earth,0,0
1239,H_2h_FirbolgTrollSplitter01_VFX_Earth,H_2h_FirbolgTrollSplitter01_VFX_Earth,0,0
1240,H_bl_CelticHammer01_VFX_Earth,H_bl_CelticHammer01_VFX_Earth,0,0
1241,H_bl_FirbolgHammer01_VFX_Earth,H_bl_FirbolgHammer01_VFX_Earth,0,0
1242,H_bo_ElvenLongbow01_VFX_Earth,H_bo_ElvenLongbow01_VFX_Earth,0,0
1243,H_bo_ElvenShortBow01_VFX_Earth,H_bo_ElvenShortBow01_VFX_Earth,0,0
1244,H_sc_FirbolgScythe01_VFX_Earth,H_sc_FirbolgScythe01_VFX_Earth,0,0
1245,H_Sp_FirbolgSpear01_VFX_Earth,H_Sp_FirbolgSpear01_VFX_Earth,0,0
1246,h_st_staff07_VFX_Earth,h_st_staff07_VFX_Earth,0,0
1247,h_st_staff09_VFX_Earth,h_st_staff09_VFX_Earth,0,0
1248,H_th_FirbolgAdze01_VFX_Earth,H_th_FirbolgAdze01_VFX_Earth,0,0
1249,H_th_WarAdze01_VFX_Earth,H_th_WarAdze01_VFX_Earth,0,0
1250,N_1h_DwarvenWarAxe01_VFX_Earth,N_1h_DwarvenWarAxe01_VFX_Earth,0,0
1251,N_1h_TrollBroadSword01_VFX_Earth,N_1h_TrollBroadSword01_VFX_Earth,0,0
1252,N_1h_TrollWarAxe01_VFX_Earth,N_1h_TrollWarAxe01_VFX_Earth,0,0
1253,N_1h_TrollWarHammer01_VFX_Earth,N_1h_TrollWarHammer01_VFX_Earth,0,0
1254,N_2h_DwarvenSpear01_VFX_Earth,N_2h_DwarvenSpear01_VFX_Earth,0,0
1255,N_2h_KoboldGreatAxe01_VFX_Earth,N_2h_KoboldGreatAxe01_VFX_Earth,0,0
1256,N_2h_KoboldGreatClub01_VFX_Earth,N_2h_KoboldGreatClub01_VFX_Earth,0,0
1257,N_2h_KoboldGreatSword01_VFX_Earth,N_2h_KoboldGreatSword01_VFX_Earth,0,0
1258,N_bo_VikingBeardedBow01_VFX_Earth,N_bo_VikingBeardedBow01_VFX_Earth,0,0
1259,N_hth_GreatBladedClawGreave01_VFX_Earth,N_hth_GreatBladedClawGreave01_VFX_Earth,0,0
1260,N_hth_GreatBladedFangGreave01_VFX_Earth,N_hth_GreatBladedFangGreave01_VFX_Earth,0,0
1261,B_2h_Coffinhammer01_VFX_Fire,B_2h_Coffinhammer01_VFX_Fire,0,0
1262,B_2h_InquisitorsPick01_VFX_Fire,B_2h_InquisitorsPick01_VFX_Fire,0,0
1263,B_2h_RoyalScimitar01_VFX_Fire,B_2h_RoyalScimitar01_VFX_Fire,0,0
1264,B_bo_SaracenShortbow01_VFX_Fire,B_bo_SaracenShortbow01_VFX_Fire,0,0
1265,B_bo_ThornBow01_VFX_Fire,B_bo_ThornBow01_VFX_Fire,0,0
1266,B_Cr_BishopsMace01_VFX_Fire,B_Cr_BishopsMace01_VFX_Fire,0,0
1267,B_Cr_CoffinMace01_VFX_Fire,B_Cr_CoffinMace01_VFX_Fire,0,0
1268,B_flx_PickFlail01_VFX_Fire,B_flx_PickFlail01_VFX_Fire,0,0
1269,B_flx_SpikedFlail01_VFX_Fire,B_flx_SpikedFlail01_VFX_Fire,0,0
1270,B_Po_MilitaryFork01_VFX_Fire,B_Po_MilitaryFork01_VFX_Fire,0,0
1271,B_Po_SaracenGlaive01_VFX_Fire,B_Po_SaracenGlaive01_VFX_Fire,0,0
1272,B_Po_TallHammer01_VFX_Fire,B_Po_TallHammer01_VFX_Fire,0,0
1273,B_sl_Cinquedea01_VFX_Fire,B_sl_Cinquedea01_VFX_Fire,0,0
1274,B_sl_Falchion01_VFX_Fire,B_sl_Falchion01_VFX_Fire,0,0
1275,b_st_magestaff01_VFX_Fire,b_st_magestaff01_VFX_Fire,0,0
1276,B_st_SpikedStaffMace01_VFX_Fire,B_st_SpikedStaffMace01_VFX_Fire,0,0
1277,B_th_DuelistsDagger01_VFX_Fire,B_th_DuelistsDagger01_VFX_Fire,0,0
1278,B_th_DuelistsRapier01_VFX_Fire,B_th_DuelistsRapier01_VFX_Fire,0,0
1279,B_xbo_SkinnersCrossbow01_VFX_Fire,B_xbo_SkinnersCrossbow01_VFX_Fire,0,0
1280,H_1h_FirbolgLongSword01_VFX_Fire,H_1h_FirbolgLongSword01_VFX_Fire,0,0
1281,H_1h_FirbolgShortSword01_VFX_Fire,H_1h_FirbolgShortSword01_VFX_Fire,0,0
1282,H_2h_FirbolgHammer01_VFX_Fire,H_2h_FirbolgHammer01_VFX_Fire,0,0
1283,H_2h_FirbolgTrollSplitter01_VFX_Fire,H_2h_FirbolgTrollSplitter01_VFX_Fire,0,0
1284,H_bl_CelticHammer01_VFX_Fire,H_bl_CelticHammer01_VFX_Fire,0,0
1285,H_bl_FirbolgHammer01_VFX_Fire,H_bl_FirbolgHammer01_VFX_Fire,0,0
1286,H_bo_ElvenLongbow01_VFX_Fire,H_bo_ElvenLongbow01_VFX_Fire,0,0
1287,H_bo_ElvenShortBow01_VFX_Fire,H_bo_ElvenShortBow01_VFX_Fire,0,0
1288,H_sc_FirbolgScythe01_VFX_Fire,H_sc_FirbolgScythe01_VFX_Fire,0,0
1289,H_Sp_FirbolgSpear01_VFX_Fire,H_Sp_FirbolgSpear01_VFX_Fire,0,0
1290,h_st_staff07_VFX_Fire,h_st_staff07_VFX_Fire,0,0
1291,h_st_staff09_VFX_Fire,h_st_staff09_VFX_Fire,0,0
1292,H_th_FirbolgAdze01_VFX_Fire,H_th_FirbolgAdze01_VFX_Fire,0,0
1293,H_th_WarAdze01_VFX_Fire,H_th_WarAdze01_VFX_Fire,0,0
1294,N_1h_DwarvenWarAxe01_VFX_Fire,N_1h_DwarvenWarAxe01_VFX_Fire,0,0
1295,N_1h_TrollBroadSword01_VFX_Fire,N_1h_TrollBroadSword01_VFX_Fire,0,0
1296,N_1h_TrollWarAxe01_VFX_Fire,N_1h_TrollWarAxe01_VFX_Fire,0,0
1297,N_1h_TrollWarHammer01_VFX_Fire,N_1h_TrollWarHammer01_VFX_Fire,0,0
1298,N_2h_DwarvenSpear01_VFX_Fire,N_2h_DwarvenSpear01_VFX_Fire,0,0
1299,N_2h_KoboldGreatAxe01_VFX_Fire,N_2h_KoboldGreatAxe01_VFX_Fire,0,0
1300,N_2h_KoboldGreatClub01_VFX_Fire,N_2h_KoboldGreatClub01_VFX_Fire,0,0
1301,N_2h_KoboldGreatSword01_VFX_Fire,N_2h_KoboldGreatSword01_VFX_Fire,0,0
1302,N_bo_VikingBeardedBow01_VFX_Fire,N_bo_VikingBeardedBow01_VFX_Fire,0,0
1303,N_hth_GreatBladedClawGreave01_VFX_Fire,N_hth_GreatBladedClawGreave01_VFX_Fire,0,0
1304,N_hth_GreatBladedFangGreave01_VFX_Fire,N_hth_GreatBladedFangGreave01_VFX_Fire,0,0
1305,B_2h_Coffinhammer01_VFX_Water,B_2h_Coffinhammer01_VFX_Water,0,0
1306,B_2h_InquisitorsPick01_VFX_Water,B_2h_InquisitorsPick01_VFX_Water,0,0
1307,B_2h_RoyalScimitar01_VFX_Water,B_2h_RoyalScimitar01_VFX_Water,0,0
1308,B_bo_SaracenShortbow01_VFX_Water,B_bo_SaracenShortbow01_VFX_Water,0,0
1309,B_bo_ThornBow01_VFX_Water,B_bo_ThornBow01_VFX_Water,0,0
1310,B_Cr_BishopsMace01_VFX_Water,B_Cr_BishopsMace01_VFX_Water,0,0
1311,B_Cr_CoffinMace01_VFX_Water,B_Cr_CoffinMace01_VFX_Water,0,0
1312,B_flx_PickFlail01_VFX_Water,B_flx_PickFlail01_VFX_Water,0,0
1313,B_flx_SpikedFlail01_VFX_Water,B_flx_SpikedFlail01_VFX_Water,0,0
1314,B_Po_MilitaryFork01_VFX_Water,B_Po_MilitaryFork01_VFX_Water,0,0
1315,B_Po_SaracenGlaive01_VFX_Water,B_Po_SaracenGlaive01_VFX_Water,0,0
1316,B_Po_TallHammer01_VFX_Water,B_Po_TallHammer01_VFX_Water,0,0
1317,B_sl_Cinquedea01_VFX_Water,B_sl_Cinquedea01_VFX_Water,0,0
1318,B_sl_Falchion01_VFX_Water,B_sl_Falchion01_VFX_Water,0,0
1319,b_st_magestaff01_VFX_Water,b_st_magestaff01_VFX_Water,0,0
1320,B_st_SpikedStaffMace01_VFX_Water,B_st_SpikedStaffMace01_VFX_Water,0,0
1321,B_th_DuelistsDagger01_VFX_Water,B_th_DuelistsDagger01_VFX_Water,0,0
1322,B_th_DuelistsRapier01_VFX_Water,B_th_DuelistsRapier01_VFX_Water,0,0
1323,B_xbo_SkinnersCrossbow01_VFX_Water,B_xbo_SkinnersCrossbow01_VFX_Water,0,0
1324,H_1h_FirbolgLongSword01_VFX_Water,H_1h_FirbolgLongSword01_VFX_Water,0,0
1325,H_1h_FirbolgShortSword01_VFX_Water,H_1h_FirbolgShortSword01_VFX_Water,0,0
1326,H_2h_FirbolgHammer01_VFX_Water,H_2h_FirbolgHammer01_VFX_Water,0,0
1327,H_2h_FirbolgTrollSplitter01_VFX_Water,H_2h_FirbolgTrollSplitter01_VFX_Water,0,0
1328,H_bl_CelticHammer01_VFX_Water,H_bl_CelticHammer01_VFX_Water,0,0
1329,H_bl_FirbolgHammer01_VFX_Water,H_bl_FirbolgHammer01_VFX_Water,0,0
1330,H_bo_ElvenLongbow01_VFX_Water,H_bo_ElvenLongbow01_VFX_Water,0,0
1331,H_bo_ElvenShortBow01_VFX_Water,H_bo_ElvenShortBow01_VFX_Water,0,0
1332,H_sc_FirbolgScythe01_VFX_Water,H_sc_FirbolgScythe01_VFX_Water,0,0
1333,H_Sp_FirbolgSpear01_VFX_Water,H_Sp_FirbolgSpear01_VFX_Water,0,0
1334,h_st_staff07_VFX_Water,h_st_staff07_VFX_Water,0,0
1335,h_st_staff09_VFX_Water,h_st_staff09_VFX_Water,0,0
1336,H_th_FirbolgAdze01_VFX_Water,H_th_FirbolgAdze01_VFX_Water,0,0
1337,H_th_WarAdze01_VFX_Water,H_th_WarAdze01_VFX_Water,0,0
1338,N_1h_DwarvenWarAxe01_VFX_Water,N_1h_DwarvenWarAxe01_VFX_Water,0,0
1339,N_1h_TrollBroadSword01_VFX_Water,N_1h_TrollBroadSword01_VFX_Water,0,0
1340,N_1h_TrollWarAxe01_VFX_Water,N_1h_TrollWarAxe01_VFX_Water,0,0
1341,N_1h_TrollWarHammer01_VFX_Water,N_1h_TrollWarHammer01_VFX_Water,0,0
1342,N_2h_DwarvenSpear01_VFX_Water,N_2h_DwarvenSpear01_VFX_Water,0,0
1343,N_2h_KoboldGreatAxe01_VFX_Water,N_2h_KoboldGreatAxe01_VFX_Water,0,0
1344,N_2h_KoboldGreatClub01_VFX_Water,N_2h_KoboldGreatClub01_VFX_Water,0,0
1345,N_2h_KoboldGreatSword01_VFX_Water,N_2h_KoboldGreatSword01_VFX_Water,0,0
1346,N_bo_VikingBeardedBow01_VFX_Water,N_bo_VikingBeardedBow01_VFX_Water,0,0
1347,N_hth_GreatBladedClawGreave01_VFX_Water,N_hth_GreatBladedClawGreave01_VFX_Water,0,0
1348,N_hth_GreatBladedFangGreave01_VFX_Water,N_hth_GreatBladedFangGreave01_VFX_Water,0,0
1349,VFX_hothead01,VFX_hothead01,0,0
1350,VFX_head_sunburst01,VFX_head_sunburst01,0,0
1351,VFX_head_orbit01,VFX_head_orbit01,0,0
1352,VFX_head_orbit02,VFX_head_orbit02,0,0
1353,VFX_fire_eyes01,VFX_fire_eyes01,0,0
1354,VFX_fire_eyes01_blue,VFX_fire_eyes01_blue,0,0
1355,VFX_fire_eyes01_green,VFX_fire_eyes01_green,0,0
1356,VFX_wormhole,VFX_wormhole,0,0
1357,VFX_Crows01,VFX_Crows01,0,0
1358,VFX_wings01,VFX_wings01,0,0
1359,vfx_wings02-fire,vfx_wings02-fire,0,0
1360,pumpkin_head_m_Dwa_m.nif,pumpkin_head_m_Dwa_m,0,0
1361,pumpkin_head_m_elf_m.nif,pumpkin_head_m_elf_m,0,0
1362,pumpkin_head_m_fir_m.nif,pumpkin_head_m_fir_m,0,0
1363,pumpkin_head_m_fro_m.nif,pumpkin_head_m_fro_m,0,0
1364,pumpkin_head_m_hal_m.nif,pumpkin_head_m_hal_m,0,0
1365,pumpkin_head_m_hig_m.nif,pumpkin_head_m_hig_m,0,0
1366,pumpkin_head_m_inc_m.nif,pumpkin_head_m_inc_m,0,0
1367,pumpkin_head_m_kob_m.nif,pumpkin_head_m_kob_m,0,0
1368,pumpkin_head_m_lur_m.nif,pumpkin_head_m_lur_m,0,0
1369,pumpkin_head_m_min_m.nif,pumpkin_head_m_min_m,0,0
1370,pumpkin_head_m_nor_m.nif,pumpkin_head_m_nor_m,0,0
1371,pumpkin_head_m_sar_m.nif,pumpkin_head_m_sar_m,0,0
1372,pumpkin_head_m_sha_m.nif,pumpkin_head_m_sha_m,0,0
1373,pumpkin_head_m_syl_m.nif,pumpkin_head_m_syl_m,0,0
1374,pumpkin_head_m_tro_m.nif,pumpkin_head_m_tro_m,0,0
1375,pumpkin_head_m_val_m.nif,pumpkin_head_m_val_m,0,0
1376,pumpkin_head_m_ava_m.nif,pumpkin_head_m_ava_m,0,0
1377,pumpkin_head_m_bri_m.nif,pumpkin_head_m_bri_m,0,0
1378,wings_bat01,wings_bat01,0,0
1379,VFX_pumpkin_standard,VFX_pumpkin_standard,0,0
1380,wings_dragon_STONE,wings_dragon_STONE,0,0
1381,wings_dragon_GLIMMER,wings_dragon_GLIMMER,0,0
1382,wings_dragon_wolf,wings_dragon_wolf,0,0
1383,kaleidoscope_butterflies01,kaleidoscope_butterflies01,0,0
1384,mask_Tentacled_VFX,mask_Tentacled_VFX,0,0
1385,vfx_orbiting_gems01,vfx_orbiting_gems01,0,0
1386,vfx_orbiting_gems01-GREEN,vfx_orbiting_gems01-GREEN,0,0
1387,vfx_orbiting_gems01-YELLOW,vfx_orbiting_gems01-YELLOW,0,0
1388,vfx_orbiting_gems01-orange,vfx_orbiting_gems01-orange,0,0
1389,vfx_orbiting_gems01-purple,vfx_orbiting_gems01-purple,0,0
1390,vfx_orbiting_gems01-red,vfx_orbiting_gems01-red,0,0
1391,vfx_flaming_skull01,vfx_flaming_skull01,0,0
1392,vfx_flaming_skull-green,vfx_flaming_skull-green,0,0
1393,vfx_flaming_skull-blue,vfx_flaming_skull-blue,0,0
1394,VFX_miasma01,VFX_miasma01,0,0
1395,vfx_darkaura01,vfx_darkaura01,0,0
1396,vfx_darkaura02,vfx_darkaura02,0,
1397,vfx_wings03-darkfire,vfx_wings03-darkfire,0,0
1398,vfx_shocking_aura_BLUE01,vfx_shocking_aura_BLUE01,0,0
1399,vfx_shocking_aura_BLUE_Arm_L.NIF,vfx_shocking_aura_BLUE_Arm_L,0,0
1400,vfx_shocking_aura_BLUE_Leg_R.NIF,vfx_shocking_aura_BLUE_Leg_R,0,0
1401,vfx_shocking_aura_BLUE_ARM_R.NIF,vfx_shocking_aura_BLUE_ARM_R,0,0
